Day,Month,Year,Location,Plot,Station,Genus,Species,Identification,SeedLength,MajorWidth,MinorWidth,SeedGenus,SeedDescription,Flag
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.75,1.55,0.11,Plantago,trans wing,1
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.57,1.18,0.74,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.4,1.08,0.73,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.56,1.36,0.89,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.33,1.2,0.82,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.19,1.04,0.68,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.49,1.22,0.71,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.52,1.09,0.74,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.66,1.14,0.72,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.52,1.17,0.71,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.8,1.31,0.75,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.38,1.04,0.69,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,1.85,1.07,0.67,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.38,1.16,0.78,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.45,1.27,0.79,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.43,1.13,0.76,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.57,1.25,0.75,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.59,1.19,0.78,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.57,1.17,0.73,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.64,1.17,0.78,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.52,1.1,0.76,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,1.95,1.07,0.47,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.39,1.11,0.94,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.39,1.06,0.74,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.32,1,0.68,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.69,1.17,0.79,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.58,1.11,0.71,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.55,1.22,0.78,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.59,1.16,0.73,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.27,0.98,0.62,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.26,0.93,0.63,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.5,1.16,0.66,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.53,1.18,0.73,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.51,1.13,0.71,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.49,1.23,0.84,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.37,1.02,0.72,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.52,1.09,0.69,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.44,1.08,0.78,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.44,1.13,0.72,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.48,1.13,0.78,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.35,1.03,0.71,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.25,0.9,0.56,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.47,1.16,0.72,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.56,1.2,0.75,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.15,1.01,0.69,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.53,1.16,0.78,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.18,1.05,0.78,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.59,1.15,0.7,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.13,1.09,0.62,Plantago,little canoe,0
13,6,1975,SNM_East,6,,Perognathus,amplus,LF1,2.53,1.22,0.78,Plantago,little canoe,0
